TAXON,SPECIES,SUBSPECIES,DISSECTED.BY.MOUNTAINS,LAT.RANGE,ENV.SHIELDING,GLACIATION,ISLAND.DWELLING,HABITAT.HETEROGENEITY,BODY.SIZE,MEAN.PRECIP,VARIANCE.PRECIP,PREDICTABILITY.PRECIP,MEAN.TEMP,VARIANCE.TEMP,PREDICTABILITY.TEMP,NPP,BREEDING.RANGE.AREA,ENV.HARSHNESS,GEOGRAPHIC.COVERAGE,RAINFALL.UNPREDICTABILITY,RESIDUAL.BODY.SIZE,SOURCE.HIBERNATION.DATA,N.MOST.LAT,S.MOST.LAT,CENTROID
birds,Accipiter_brevipes,1,TRUE,Temperate,1,0,0,4,187.5,35.49483539,761.9064577,0.579651471,9.248000433,122.5230118,0.50252143,1.80E+11,660000.108,1.898571182,-0.160229504,0.313878455,-0.462591502,,52.37298767,37.7216525,45.45953628
birds,Accipiter_castanilius,1,FALSE,Tropical,0,0,0,2,159.25,135.5998484,7771.335623,0.69420766,24.81940219,0.872749083,0.770250485,8.07E+11,2824979.614,-0.77238416,0.50330091,-1.20579049,-0.083644014,,7.166632786,-10.4726106,-0.790397995
birds,Accipiter_cirrocephalus,3,TRUE,Mixed,0,0,1,6,172,71.15480359,5113.164806,0.518018222,21.3894087,21.73837148,0.623957338,3.12E+11,5488643.133,1.085539535,1.945523303,0.605187593,-0.418623027,,0.039369981,-43.64396997,-23.35856041
birds,Accipiter_cooperii,1,TRUE,Mixed,1,1,0,4,439,59.15205815,1928.568056,0.57762594,8.158399804,100.2753374,0.50778428,2.76E+11,7965509.688,1.757436321,0.776472777,-0.096086477,-0.708594699,,53.30630892,23.27978489,42.59164609
birds,Accipiter_erythrauchen,2,FALSE,Tropical,0,0,1,1,156,219.7587786,17332.34297,0.652343338,25.15529322,0.12849372,0.801105925,7.70E+11,48150.2797,-1.569033405,-0.587497473,-0.014701117,-0.558999185,,2.645570001,-3.910550003,-1.319809005
birds,Accipiter_erythropus,2,FALSE,Tropical,0,0,0,2,115.35,134.5121747,10950.80364,0.673295073,25.6270791,1.431387708,0.743172985,7.09E+11,3903921.611,-0.667883531,0.725500976,-0.861221156,-0.046866488,,14.72876449,-9.357707371,3.48310433
birds,Accipiter_fasciatus,11,TRUE,Mixed,0,0,0,6,380.25,47.73856197,3663.826548,0.508010228,21.64280718,26.78072302,0.602880355,2.15E+11,8180203.442,1.35407523,1.915943243,0.502940334,-0.804531911,,-1.703621778,-43.64396873,-24.44597521
birds,Accipiter_gentilis,8,TRUE,Mixed,1,1,0,5,901.6666667,45.4673946,1183.285433,0.697479515,-0.978402546,177.9270827,0.494942724,1.56E+11,31773231.61,2.152012945,1.021161598,-1.518522921,-0.568418258,,70.38544914,17.09913127,54.19928199
birds,Accipiter_griseiceps,1,FALSE,Tropical,0,0,1,1,255.5,208.3539212,9802.579896,0.709257531,24.19831,0.169238035,0.780891441,8.12E+11,134177.6881,-1.335106765,-0.634212574,-0.928249816,-0.495646697,,1.88424,-5.660810002,-1.827513242
birds,Accipiter_gularis,3,TRUE,Mixed,1,0,0,4,122,55.1447248,3588.080277,0.695835781,1.688439602,206.5861706,0.528989319,2.02E+11,5601964.045,1.750418464,0.363223971,-0.863113387,0.148872752,,59.00260163,13.24059989,46.51051226
