"","sp","DR","ssp","lat","region","age","genus","Family","Order","eltonO","eltonF"
"3630","Melozone_kieneri",0.166789418118813,3,20.13679431,"Mixed",5.543627054,"Melozone","Passerellidae","Passeriformes","",""
"3631","Melozone_leucotis",0.181985474733734,3,12.78088306,"Tropical",4.542346737,"Melozone","Passerellidae","Passeriformes","",""
"3632","Menura_alberti",0.0425936619991376,1,-28.6238467,"Temperate",2.157094599,"Menura","Menuridae","Passeriformes","Passeriformes","Menuridae"
"3633","Menura_novaehollandiae",0.0425936619991376,2,-32.64687787,"Temperate",2.157094599,"Menura","Menuridae","Passeriformes","Passeriformes","Menuridae"
"3634","Merganetta_armata",0.139782513519846,6,-24.13917748,"Mixed",5.781799151,"Merganetta","Anatidae","Anseriformes","Anseriformes","Anatidae"
"3635","Mergellus_albellus",0.201628099399147,1,60.59509243,"Temperate",4.104544864,"Mergellus","Anatidae","Anseriformes","Anseriformes","Anatidae"
"3636","Mergus_merganser",1.20723755230978,3,48.14068155,"Temperate",0.03727073922,"Mergus","Anatidae","Anseriformes","Anseriformes","Anatidae"
"3637","Mergus_octosetaceus",1.20723755230978,1,-17.31908958,"Mixed",0.03727073922,"Mergus","Anatidae","Anseriformes","Anseriformes","Anatidae"
"3638","Mergus_serrator",0.397590299969539,1,58.24616318,"Temperate",0.8653593337,"Mergus","Anatidae","Anseriformes","Anseriformes","Anatidae"
"3639","Mergus_squamatus",0.617511120198508,1,46.68618097,"Temperate",0.7236561669,"Mergus","Anatidae","Anseriformes","Anseriformes","Anatidae"
"3640","Merops_albicollis",0.124297707734637,1,15.48573774,"Tropical",6.059081688,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3641","Merops_apiaster",0.244043373891042,1,6.098222331,"Mixed",3.021657179,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3642","Merops_boehmi",0.0787713370601864,1,-10.28672341,"Tropical",7.683852548,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3643","Merops_breweri",0.0786702914868908,1,0.699531353,"Tropical",7.716463863,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3644","Merops_bullockoides",0.111875684345026,2,-13.40728717,"Mixed",5.165706924,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3645","Merops_gularis",0.175004250547152,2,1.032115784,"Tropical",3.631671356,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3646","Merops_hirundineus",0.169689152621787,4,-7.975409222,"Mixed",3.989634726,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3647","Merops_leschenaulti",0.317288704521319,3,21.2429351,"Mixed",1.933082249,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
