"sp","DR","ssp","lat"
"Amblyramphus_holosericeus",0.148863250684511,3,-27.06077858
"Ammodramus_aurifrons",0.156046451552433,4,-3.978864293
"Ammodramus_bairdii",0.189701754759711,1,48.15856037
"Ammodramus_caudacutus",0.436024265378421,5,39.95168197
"Ammodramus_henslowii",0.189701754759711,2,41.06731746
"Ammodramus_humeralis",0.156046451552433,4,-16.64944632
"Ammodramus_maritimus",0.278293819920088,9,37.10157162
"Ammodramus_savannarum",0.12834250028407,11,35.27799399
"Ammomanes_deserti",0.136330919915791,24,25.15611155
"Ammomanes_grayi",0.0607204196288498,2,-21.53448101
"Ammoperdix_griseogularis",0.0927510919427901,1,33.03908901
"Ammoperdix_heyi",0.0927510919427901,4,24.04228151
"Ampeliceps_coronatus",0.143500537409704,1,17.52593402
"Ampelioides_tschudii",0.0467362783675534,1,-4.906820538
"Ampelion_rufaxilla",0.100074864815859,2,-6.314739059
"Amphilais_seebohmi",0.17083392318986,1,-18.91895714
"Amphispiza_belli",0.126608577326089,5,38.01024187
"Amphispiza_bilineata",0.100455217698966,10,38.36345809
"Amytornis_barbatus",0.0299435245920417,1,-26.87867882
"Amytornis_dorotheae",0.114665894277126,1,-18.56579803
"Amytornis_goyderi",0.0799043752914496,1,-26.00089531
"Amytornis_housei",0.0610102140603576,1,-15.83116354
"Amytornis_purnelli",0.114372466536016,2,-23.55406777
"Amytornis_striatus",0.0736337364838171,3,-25.79620076
"Amytornis_textilis",0.0482221273547936,3,-30.518998
"Amytornis_woodwardi",0.114665894277126,1,-12.98173682
"Anabacerthia_amaurotis",0.220904032080694,1,-24.16689693
"Anabacerthia_striaticollis",0.150086980958919,6,-1.545447382
"Anabacerthia_variegaticeps",0.220904032080694,2,11.77797081
"Anairetes_alpinus",0.183221263059764,2,-12.11781505
"Anairetes_flavirostris",0.212570630143048,4,-28.25089604
"Anairetes_parulus",0.373643028164357,3,-35.5941782
"Anairetes_reguloides",0.222335371444586,2,-13.7128144
"Anaplectes_rubriceps",0.123784034698159,3,-6.705922337
"Anarhynchus_frontalis",0.0361435083822783,1,-43.87638946
"Anas_acuta",0.847718280136677,1,57.85946993
"Anas_americana",0.769721114003084,1,49.6678912
"Anas_bahamensis",1.01056887063855,3,-21.19810577
"Anas_bernieri",0.560421899305491,1,-17.0865281
"Anas_capensis",0.413694442129198,1,-18.65818983
"Anas_castanea",0.813536882381882,1,-30.02235349
"Anas_crecca",0.402383797620879,3,52.60296474
"Anas_cyanoptera",1.21098215625209,5,12.31855717
"Anas_discors",1.21098215625209,1,34.44965389
"Anas_erythrorhyncha",0.585417268593077,1,-10.71977627
"Anas_falcata",0.500946691266053,1,55.16657704
"Anas_flavirostris",0.402383797620879,4,-34.04894255
"Anas_formosa",0.233425620812325,1,64.58065338
"Anas_fulvigula",3.10424061556883,1,28.12594374
"Anas_georgica",0.847718280136677,3,-33.5813508
"Anas_gibberifrons",0.457533003483423,3,-3.889647138
"Anas_gracilis",0.813536882381882,1,-23.72856364
"Anas_hottentota",0.222439928864831,1,-11.59731432
"Anas_luzonica",1.94935886668515,1,12.11768637
"Anas_melleri",0.988437007490486,1,-19.36640377
"Anas_penelope",0.422317883317864,1,61.69289907
"Anas_platalea",0.495640377497227,5,-36.26151693
"Anas_poecilorhyncha",3.47302813658223,3,23.00212999
"Anas_puna",0.513391788260135,1,-18.08991537
"Anas_querquedula",0.324015645630783,1,53.55442484
"Anas_rhynchotis",2.1773482172571,2,-29.62993446
"Anas_rubripes",3.10424061556883,3,47.29540603
"Anas_sibilatrix",0.769721114003084,1,-40.77233029
"Anas_smithii",1.22950171955459,1,-24.84108971
"Anas_sparsa",0.39398495575469,2,-9.745459119
"Anas_strepera",0.500946691266053,2,46.57277325
"Anas_superciliosa",0.945373828163208,3,-22.8903795
"Anas_undulata",0.988437007490486,2,-10.77657512
"Anas_versicolor",0.513391788260135,2,-36.97385764
"Anastomus_lamelligerus",0.0604656372363684,2,-2.923904551
"Ancistrops_strigilatus",0.0746178280488508,2,-5.930305869
"Andigena_cucullata",0.497743814474906,1,-15.80354958
"Andigena_hypoglauca",0.251373482920932,2,-5.403468463
"Andigena_laminirostris",0.165379081393675,1,0.04766515
"Andigena_nigrirostris",0.497743814474906,3,3.985383413
"Androdon_aequatorialis",0.0457785027708031,1,4.502851894
"Andropadus_ansorgei",0.118402366263906,2,1.404513271
